[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '15', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '16', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '17', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '18', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '19', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '20', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '21', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '22', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '23', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
[02-Jan-2020 12:12:26 UTC] База данных WordPress возвратила ошибку Unknown column 'post_id' in 'field list' в ответ на запрос SELECT post_id FROM tsvt_usermeta WHERE meta_key = '_import_user_ID' AND meta_value = '24', выполненный do_action('toplevel_page_wooaioie-page'), WP_Hook->do_action, WP_Hook->apply_filters, wooaioie_admin_page, include('/plugins/woo-aio-import-export/admin/partials/import_users.php')
